Rank,Wallet_Address,Balance_BSV,Percentage_of_Supply
24,1E1Sx6VtSNrdWEew7q9qpA7zp7zeZoLyk8,68359.04416179,0.33%
25,1Tz3P9kov7bDuVbPFsFrAXd3XooEWoAD8,65868.92925849,0.31%
26,19gP93RHV45PjHMhoKaPXbbQKcVrk3dKZS,65372.36491575,0.31%
27,1CKrEPNb9JQzhpynMvpzGRA89DFhEAGR2t,56229.03080988,0.27%
28,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880.05999422,0.26%
29,1FwkaAidQ4tnzFmBfEqbXJU4EzjRNshFT5,53431.00565266,0.25%
30,1KZFSWUz3qSwvYjFiitZre3xZoZ83q6YhT,52951.3588728,0.25%
31,1EkkGXR7dTbZbrKFKoe6YEP4gj4GzMeKvw,48378.81936413,0.23%
32,1EfBMK9q6rGFZazeF7jyNdTgqGYgcDgRE5,48260.37223909,0.23%
33,13yBADPbx89Lhh8Efh9oixamge5SRfrv1a,45223.23479301,0.22%
34,17U86sbWWdPjJcx1ZV2Xp3T1GEoDx7N2p1,42403.35517031,0.2%
35,1DgMGFRVSViwADjDotF56uKT9nGWrGPRqx,40199.0496348,0.19%
36,157msRqoHYaiUWdWJQv3kkFXJnFDHAULSd,39874.92140001,0.19%
37,193i1r6YXUb9FdhYf5uUXVA6jAu4kU4ARK,38550.24660001,0.18%
38,187xuwUXwVDF8YjZooVVP37xipyA1PmXTu,36350.26899022,0.17%
39,1LjoE5MNviaMwMHgrfV85fHXLjq2RvR3TU,36302.92000001,0.17%
40,16r28es1JDVzuLUeXvXZnFfEBovjiecc6g,36000.39972759,0.17%
41,1Az1BAeS8ajeNo5DSf7DKThXqAtfo3gr2u,33669.40692459,0.16%
42,1FQNi6NiaKhymJZdKikjRUYdwcZtcSLxpG,32894.80709792,0.16%
43,16a4nv7DW7vRYZTtKx8tTAWh2ty8jbpXB3,31461.5241466,0.15%
44,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,31000.05998246,0.15%
45,1M6kiiwpJ4KaT9J4uY7ZYEu7k3aE9kmMqP,29999.99999935,0.14%
46,12n6d3JTsYZd2SzXEy2QdazWoejfewJgmj,29999.50004057,0.14%
47,18gQDkXfWKsLYwzYUY4MXuerRbg4xSmjZ9,29449.9950383,0.14%
48,1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,29321.53920524,0.14%
49,1JCtg7CEqifVoTjEiCDSAJzqk2AAWsZtY6,29312.07851074,0.14%
50,1JBq1rRQSnMMFR384XLULQtb6boPzsL7fg,29232.01753678,0.14%
51,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,28151.08449435,0.13%
52,1MggaTm6wHowuQhUbcJMsHKL2jezDPEAiQ,26251.93254459,0.13%
53,1SY2BVmUu3UxF7afuSH7iCvWByLrUw2FC,24677.18037426,0.12%
54,16Jyis1XccrJevd4pQynfMRN5E5D5W73ec,24667.7622983,0.12%
55,14APA9vozSZ6xRpNatyu9942dnQKQ2mpyR,23967.64385597,0.11%
56,184mmRmzfQyGXfPNBHifPai8gg2SQepeVp,23958.68691103,0.11%
57,1GDPLRNtv52qfSBXzm9GpV9hwAswMx3y13,21691.43558313,0.1%
58,1F6WkSdr8fgqcgKaR93NYjBacMgoVJ3pWJ,20955.57689114,0.1%
59,1KaHWsFYXQX4x2KNQJVxu3rKnsdH2HErki,20111.00000539,0.1%
60,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,20008.01584718,0.1%
61,16dJJzDtBaaGAqZ9o7upTuwDzELH5PBCMj,20003.71923031,0.1%
62,177K2cm4LSf3dTBqvQvK1svVTLs7VbtRkR,20000.09012044,0.1%
63,1GyQUMfLqoz3fPvE3nRE3o6cNQtirQz7d2,20000.00001095,0.1%
64,1MEgvCRGTE6DCdfeDPYpDzPXx9r5Ts4KL9,19886.00000001,0.09%
65,1AweHhoN3Sf2kVudjwBiQq3J9ZPrt1yNnC,19816.25247139,0.09%
66,1N1NRfypdTFoTr1NoHsuvFUdz4tfiPsuUZ,19644.5966235,0.09%
67,1BA47GLhQZrTtPt21CJ73cY9YSSsCXX7gF,19540.28079155,0.09%
68,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,19414.4268044,0.09%
69,1KGpRvXsNUSacJjSocRU8U9XeYQ4Hpc7GV,19229.00000001,0.09%
70,1MYWaeGdVCWaYavoa4A2qvyLCMEJXLrPTR,15678.26815119,0.07%
71,18VWHjMt4ixHddPPbs6righWTs3Sg2QNcn,15194.59254,0.07%
72,17f6mqsKK3j1RvLvbEZ9BMPF8B3uZKc6DH,15018.88272933,0.07%
73,1BZUdyeTBQCfPzfGGHuJzYHbJENuJKkLHB,15000.00000001,0.07%
74,13PEtdjGFVscva6MFrrcQPfBiZbRLw8hE4,14999.99999814,0.07%
75,1KFL2r9QP24m2QCYFXHp7EkfqQt77Teuws,14864.3011421,0.07%
76,1K6vuywoKjUybpBNmVD4W3i8BZdRazfQKm,14560.00134595,0.07%
77,1LgqWeoPVNuwfQCEnwKAPgcWwH74vHDZ5p,14418.57645692,0.07%
78,unknown,14035.65274204,0.07%
79,16r8K5seSjvd8BLY2z1irUDDArxripApD6,13683.61532601,0.07%
80,1MrqrZnkqMhPaj7RK665Xpw6qPBRhJpwt,13634.65632111,0.06%
81,1tUUTafornuPJd8jZMeBR67X4LWUCAgtL,13600.14634545,0.06%
82,1LY2M3RCkEVKo82ym1SQ1iZGQhM5Lf5Pkf,13388.32208776,0.06%
83,1FQeADjkPw8aQd5HbZJ92natK2Qac49oSG,13086.39660267,0.06%
84,1DTNb4aSchpdSjek6EucAfmNYDACUfHFVK,13031.39601001,0.06%
85,19BmSJxFFyg2yprYKCuNM6KkfH2fPE1VWK,13000.09999717,0.06%
86,123nUo4Q8nm3QBs6K4NZrPt25iQdWAChtp,12536.59632884,0.06%
87,1NErjmKLtdUxnh82Na1yaXnh1MapobQW3h,12486.52171798,0.06%
88,1FPW2bjNqVbTPoXPtVreWjqKrC4qjajJ5,12441.10827904,0.06%
89,1CK9ewuxg7AUirYGvqdbLAb9g4RWPFLaV4,12325.99989743,0.06%
90,1A8b4XRogkBd8jW7y2zdpz7xjTFLgcVUE2,12263.47286671,0.06%
91,1HaXX9uDZTNhEJVT6QGY35Cd6mqms1upnf,12200.00000001,0.06%
92,17UMvuqRg2fBn7eHDBrRqrQu78psgV1Yh8,12169.09577083,0.06%
93,1AukX7W91NQtvBQNKAWTHpjxkC5kva1U68,12103.02907466,0.06%
94,1HAQ6nSR4EhH2739Tij7AzQtQaY6M6HLRS,12074.89015472,0.06%
95,1NHmFMBnmTFnLHYTAR3QZMk2SaECJfhb77,12013.26469073,0.06%
96,1MZkARhTypiyG138kuLdcjC8EWBjMtraAY,12000.29000769,0.06%
97,17BHpZG2PzuVE2m8NZ4ZC9mtDVQa9Vvf6u,12000.00000001,0.06%
98,1FMYnL1UuBkBidPjGwTvZA2EKoXDn16fmj,11999.99560001,0.06%
99,1GytSdsJToGjpzxjDsksLEznejXgPDGar6,11944.76523001,0.06%
100,1Bhsa6pYd4BZTiz3iXHWaDdemMBZvjFc7m,11768.64291214,0.06%
